,city_name,city_url_name,city_oblig_part
0,Абакан,abakan,абакан
1,Анадырь,anadyir~,анадыр
2,Архангельск,arhangel~sk,архангельск
3,Астрахань,astrahan~,астрахан
4,Барнаул,barnaul,барнаул
5,Белгород,belgorod,белгород
6,Биробиджан,birobidzhan,биробиджан
7,Благовещенск,blagovesschensk,благовещенск
8,Брянск,bryansk,брянск
9,Великий Новгород,velikiy_novgorod,новгород
10,Владивосток,vladivostok,владивосток
11,Владикавказ,vladikavkaz,владикавказ
12,Владимир,vladimir,владимир
13,Волгоград,volgograd,волгоград
14,Вологда,vologda,вологд
15,Воронеж,voronezh,воронеж
16,Горно-Алтайск,gorno-altaysk,алтайск
17,Грозный,groznyiy,грозн
18,Екатеринбург,ekaterinburg,екатеринбург
19,Иваново,ivanovo,иваново
20,Ижевск,izhevsk,ижевск
21,Иркутск,irkutsk,иркутск
22,Йошкар-Ола,yosshkar-ola,йошкар-ол
23,Казань,kazan~,казан
24,Калининград,kaliningrad,калининград
25,Калуга,kaluga,калуг
26,Кемерово,kemerovo,кемерово
27,Киров,kirov,киров
28,Кострома,kostroma,костром
29,Краснодар,krasnodar,краснодар
30,Красноярск,krasnoyarsk,красноярск
31,Курган,kurgan,курган
32,Курск,kursk,курск
33,Кызыл,kyizyil,кызыл
34,Липецк,lipetssk,липецк
35,Магадан,magadan,магадан
36,Магас,magas,магас
37,Майкоп,maykop,майкоп
38,Махачкала,mahachkala,махачкал
39,Москва,moskva,москв
40,Мурманск,murmansk,мурманск
41,Нальчик,nal~chik,нальчик
42,Нарьян-Мар,nar~yan-mar,нарьян-мар
43,Нижний Новгород,nizhniy_novgorod,новгород
44,Новосибирск,novosibirsk,новосибирск
45,Омск,omsk," омск"
46,Орёл,orel,орёл
47,Оренбург,orenburg,оренбург
48,Пенза,penza,пенз
49,Пермь,perm~,перм
50,Петрозаводск,petrozavodsk,петрозаводск
51,Петропавловск-Камчатский,petropavlovsk-kamchatskiy,петропавловск
52,Псков,pskov,псков
53,Ростов-на-Дону,rostov-na-donu,ростов
54,Рязань,ryazan~,рязань
55,Салехард,salehard,салехард
56,Самара,samara,самар
57,Санкт-Петербург,sankt-peterburg,петербург
58,Саранск,saransk,саранск
59,Саратов,saratov,саратов
60,Севастополь,sevastopol~,севастопол
61,Симферополь,simferopol~,симферопол
62,Смоленск,smolensk,смоленск
63,Ставрополь,stavropol~,ставропол
64,Сыктывкар,syiktyivkar,сыктывкар
65,Тамбов,tambov,тамбов
66,Тверь,tver~,твер
67,Томск,tomsk,томск
68,Тула,tula,тул
69,Тюмень,tyumen~,тюмен
70,Улан-Удэ,ulan-udje,улан
71,Ульяновск,ul~yanovsk,ульяновск
72,Уфа,ufa,уф
73,Хабаровск,habarovsk,хабаровск
74,Ханты-Мансийск,hantyi-mansiysk,ханты
75,Чебоксары,cheboksaryi,чебоксар
76,Челябинск,chelyabinsk,челябинск
77,Черкесск,cherkessk,черкесск
78,Чита,chita,чит
79,Элиста,jelista,элист
80,Южно-Сахалинск,yuzhno-sahalinsk,сахалинск
81,Якутск,yakutsk,якутск
82,Ярославль,yaroslavl~,ярославл
